id_empleado,nombre,depto,superior,marca,etiqueta
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-02 13:56:56,entrada
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-02 13:57:35,entrada
13,Auguste Renoir,Producción,Caravaggio,2025-11-02 13:57:40,salida
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-02 13:58:49,entrada
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-02 14:06:35,salida
40,Georges Seurat,Producción,Caravaggio,2025-11-02 14:21:23,salida
10,Pablo Picasso,Producción,Caravaggio,2025-11-02 14:21:51,salida
14,Edgar Degas,Producción,Caravaggio,2025-11-02 14:30:25,salida
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-02 20:49:55,entrada
34,El Greco,Producción,Vincent Van Gogh,2025-11-02 20:51:33,entrada
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-02 20:55:59,entrada
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-02 20:56:50,entrada
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-02 20:57:30,salida
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-02 20:59:55,salida
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-02 21:02:57,entrada
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-02 21:04:46,salida
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-02 21:12:00,salida
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-02 21:21:50,salida
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-03 05:47:00,salida
12,Édouard Manet,Producción,Caravaggio,2025-11-03 05:52:53,entrada
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-03 05:54:16,entrada
14,Edgar Degas,Producción,Caravaggio,2025-11-03 05:54:32,entrada
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-03 05:54:59,entrada
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-03 05:58:30,salida
13,Auguste Renoir,Producción,Caravaggio,2025-11-03 06:01:24,entrada
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-03 06:16:53,salida
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-03 06:22:40,salida
34,El Greco,Producción,Vincent Van Gogh,2025-11-03 06:25:58,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-03 06:42:00,entrada
2,Johannes Vermeer,Administración,Claude Monet,2025-11-03 07:48:05,entrada
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-03 07:53:23,entrada
1,Claude Monet,Dirección,N/A,2025-11-03 07:55:57,entrada
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-03 07:58:26,entrada
3,Mary Cassatt,Administración,Claude Monet,2025-11-03 07:59:06,entrada
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-03 08:00:25,entrada
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-03 13:51:31,entrada
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-03 13:54:32,entrada
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-03 13:58:42,entrada
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-03 13:59:39,entrada
13,Auguste Renoir,Producción,Caravaggio,2025-11-03 14:01:17,salida
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-03 14:06:08,salida
14,Edgar Degas,Producción,Caravaggio,2025-11-03 14:12:21,salida
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-03 14:15:22,entrada
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-03 14:19:31,salida
12,Édouard Manet,Producción,Caravaggio,2025-11-03 14:20:05,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-03 15:11:39,salida
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-03 15:57:12,salida
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-03 16:18:39,salida
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-03 16:19:38,salida
3,Mary Cassatt,Administración,Claude Monet,2025-11-03 16:27:06,salida
2,Johannes Vermeer,Administración,Claude Monet,2025-11-03 16:33:00,salida
1,Claude Monet,Dirección,N/A,2025-11-03 17:35:24,salida
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-03 20:49:55,salida
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-03 20:50:22,entrada
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-03 20:51:51,entrada
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-03 20:54:28,entrada
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-03 20:54:56,entrada
36,René Magritte,Producción,Vincent Van Gogh,2025-11-03 20:56:09,entrada
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-03 21:03:51,salida
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-03 21:04:27,salida
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-03 21:12:17,salida
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-03 21:25:01,salida
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-04 05:40:04,salida
12,Édouard Manet,Producción,Caravaggio,2025-11-04 05:51:38,entrada
13,Auguste Renoir,Producción,Caravaggio,2025-11-04 05:54:55,entrada
14,Edgar Degas,Producción,Caravaggio,2025-11-04 05:56:26,entrada
11,Frida Kahlo,Producción,Caravaggio,2025-11-04 05:58:11,entrada
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-04 06:00:15,salida
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-04 06:01:28,incompleto
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-04 06:06:34,salida
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-04 06:07:08,salida
36,René Magritte,Producción,Vincent Van Gogh,2025-11-04 06:09:37,salida
10,Pablo Picasso,Producción,Caravaggio,2025-11-04 06:12:30,entrada
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-04 06:52:31,entrada
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-04 07:49:10,entrada
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-04 07:51:09,entrada
2,Johannes Vermeer,Administración,Claude Monet,2025-11-04 07:52:56,entrada
3,Mary Cassatt,Administración,Claude Monet,2025-11-04 07:54:36,entrada
1,Claude Monet,Dirección,N/A,2025-11-04 07:55:28,entrada
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-04 08:00:19,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-04 13:52:47,entrada
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-04 13:53:00,entrada
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-04 13:54:20,entrada
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-04 13:54:39,entrada
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-04 13:54:44,entrada
14,Edgar Degas,Producción,Caravaggio,2025-11-04 13:59:09,salida
11,Frida Kahlo,Producción,Caravaggio,2025-11-04 14:00:03,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-04 14:01:16,entrada
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-04 14:05:33,incompleto
10,Pablo Picasso,Producción,Caravaggio,2025-11-04 14:17:22,salida
12,Édouard Manet,Producción,Caravaggio,2025-11-04 14:22:35,salida
13,Auguste Renoir,Producción,Caravaggio,2025-11-04 14:27:58,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-04 14:47:19,salida
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-04 15:56:17,salida
2,Johannes Vermeer,Administración,Claude Monet,2025-11-04 16:12:00,salida
3,Mary Cassatt,Administración,Claude Monet,2025-11-04 16:12:33,salida
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-04 16:24:12,salida
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-04 16:27:03,salida
1,Claude Monet,Dirección,N/A,2025-11-04 18:49:17,salida
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-04 20:52:47,entrada
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-04 20:54:00,entrada
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-04 20:55:00,entrada
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-04 20:56:47,entrada
36,René Magritte,Producción,Vincent Van Gogh,2025-11-04 20:59:06,entrada
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-04 21:00:13,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-04 21:04:49,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-04 21:07:40,salida
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-04 21:15:16,salida
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-04 21:18:37,salida
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-04 21:20:39,salida
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-04 21:52:01,salida
13,Auguste Renoir,Producción,Caravaggio,2025-11-05 05:48:24,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-05 05:51:00,entrada
12,Édouard Manet,Producción,Caravaggio,2025-11-05 05:51:56,entrada
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-05 05:52:49,salida
16,Francisco de Goya,Producción,Caravaggio,2025-11-05 05:53:09,entrada
40,Georges Seurat,Producción,Caravaggio,2025-11-05 05:55:28,entrada
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-05 05:57:25,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-05 05:58:30,entrada
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-05 06:00:43,salida
36,René Magritte,Producción,Vincent Van Gogh,2025-11-05 06:02:50,salida
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-05 06:12:29,salida
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-05 06:12:44,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-05 07:03:01,entrada
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-05 07:51:53,entrada
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-05 07:52:23,entrada
3,Mary Cassatt,Administración,Claude Monet,2025-11-05 07:53:29,entrada
1,Claude Monet,Dirección,N/A,2025-11-05 07:55:40,entrada
2,Johannes Vermeer,Administración,Claude Monet,2025-11-05 07:56:59,entrada
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-05 08:00:35,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-05 13:51:09,entrada
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-05 13:51:38,entrada
12,Édouard Manet,Producción,Caravaggio,2025-11-05 13:55:28,salida
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-05 13:56:06,entrada
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-05 13:56:23,entrada
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-05 13:56:52,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-05 13:58:09,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-05 14:01:05,salida
13,Auguste Renoir,Producción,Caravaggio,2025-11-05 14:04:56,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-05 14:08:21,entrada
40,Georges Seurat,Producción,Caravaggio,2025-11-05 14:25:31,salida
16,Francisco de Goya,Producción,Caravaggio,2025-11-05 14:40:13,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-05 15:09:16,salida
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-05 15:46:38,salida
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-05 15:50:31,salida
2,Johannes Vermeer,Administración,Claude Monet,2025-11-05 16:03:23,salida
3,Mary Cassatt,Administración,Claude Monet,2025-11-05 16:14:29,salida
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-05 16:45:32,salida
1,Claude Monet,Dirección,N/A,2025-11-05 17:53:32,salida
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-05 20:46:29,entrada
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-05 20:49:56,entrada
34,El Greco,Producción,Vincent Van Gogh,2025-11-05 20:50:34,entrada
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-05 20:52:43,entrada
36,René Magritte,Producción,Vincent Van Gogh,2025-11-05 20:53:13,entrada
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-05 20:55:16,entrada
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-05 20:57:28,salida
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-05 20:58:20,entrada
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-05 21:03:11,salida
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-05 21:14:11,salida
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-05 21:15:43,salida
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-05 21:28:10,salida
25,Gustav Klimt,Producción,Artemisia Gentileschi,2025-11-05 21:28:32,salida
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-06 05:48:21,entrada
12,Édouard Manet,Producción,Caravaggio,2025-11-06 05:54:26,entrada
16,Francisco de Goya,Producción,Caravaggio,2025-11-06 05:55:33,entrada
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-06 05:56:07,salida
10,Pablo Picasso,Producción,Caravaggio,2025-11-06 05:56:15,entrada
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-06 05:57:45,salida
40,Georges Seurat,Producción,Caravaggio,2025-11-06 05:58:55,entrada
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-06 06:00:39,salida
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-06 06:01:53,salida
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-06 06:05:10,entrada
34,El Greco,Producción,Vincent Van Gogh,2025-11-06 06:06:25,salida
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-06 06:07:12,salida
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-06 06:21:12,salida
36,René Magritte,Producción,Vincent Van Gogh,2025-11-06 06:34:47,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-06 06:45:54,entrada
1,Claude Monet,Dirección,N/A,2025-11-06 07:53:59,entrada
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-06 07:54:56,entrada
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-06 07:54:59,entrada
3,Mary Cassatt,Administración,Claude Monet,2025-11-06 07:55:17,entrada
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-06 07:57:57,entrada
2,Johannes Vermeer,Administración,Claude Monet,2025-11-06 08:05:19,incompleto
40,Georges Seurat,Producción,Caravaggio,2025-11-06 13:50:11,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-06 13:52:30,entrada
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-06 13:54:16,entrada
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-06 13:54:29,entrada
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-06 13:55:08,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-06 13:55:18,entrada
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-06 13:57:46,entrada
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-06 13:59:02,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-06 13:59:05,salida
30,Andy Warhol,Producción,Vincent Van Gogh,2025-11-06 14:02:50,salida
16,Francisco de Goya,Producción,Caravaggio,2025-11-06 14:07:57,salida
12,Édouard Manet,Producción,Caravaggio,2025-11-06 14:11:54,salida
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-06 14:30:24,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-06 15:34:45,salida
3,Mary Cassatt,Administración,Claude Monet,2025-11-06 15:59:38,salida
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-06 16:02:17,salida
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-06 16:12:03,salida
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-06 16:16:13,salida
1,Claude Monet,Dirección,N/A,2025-11-06 18:23:34,salida
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-06 20:50:23,entrada
24,Joan Miró,Producción,Artemisia Gentileschi,2025-11-06 20:50:24,salida
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-06 20:52:31,entrada
36,René Magritte,Producción,Vincent Van Gogh,2025-11-06 20:52:33,entrada
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-06 20:55:00,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-06 20:55:50,salida
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-06 20:55:50,salida
34,El Greco,Producción,Vincent Van Gogh,2025-11-06 20:56:02,entrada
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-06 20:58:34,salida
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-06 20:59:57,entrada
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-06 21:03:21,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-06 21:21:33,salida
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-06 21:35:57,salida
40,Georges Seurat,Producción,Caravaggio,2025-11-07 05:50:36,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-07 05:51:06,entrada
16,Francisco de Goya,Producción,Caravaggio,2025-11-07 05:53:25,entrada
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-07 05:53:30,entrada
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-07 05:55:03,entrada
14,Edgar Degas,Producción,Caravaggio,2025-11-07 05:57:13,entrada
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-07 05:58:30,entrada
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-07 06:01:41,salida
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-07 06:15:47,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-07 06:19:57,entrada
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-07 06:25:15,salida
34,El Greco,Producción,Vincent Van Gogh,2025-11-07 06:26:00,salida
36,René Magritte,Producción,Vincent Van Gogh,2025-11-07 06:26:38,salida
42,Salvador Dalí,Producción,Vincent Van Gogh,2025-11-07 06:29:06,salida
2,Johannes Vermeer,Administración,Claude Monet,2025-11-07 07:52:10,entrada
1,Claude Monet,Dirección,N/A,2025-11-07 07:54:17,entrada
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-07 07:55:00,entrada
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-07 07:55:13,entrada
3,Mary Cassatt,Administración,Claude Monet,2025-11-07 07:55:27,entrada
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-07 07:57:58,entrada
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-07 13:50:49,entrada
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-07 13:51:02,entrada
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-07 13:52:31,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-07 13:53:59,entrada
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-07 13:55:16,entrada
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-07 14:01:05,salida
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-07 14:02:44,entrada
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-07 14:08:21,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-07 14:09:22,salida
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-07 14:10:09,salida
40,Georges Seurat,Producción,Caravaggio,2025-11-07 14:10:17,salida
14,Edgar Degas,Producción,Caravaggio,2025-11-07 14:22:57,salida
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-07 14:30:59,salida
16,Francisco de Goya,Producción,Caravaggio,2025-11-07 14:31:31,salida
4,Rembrandt van Rijn,Operaciones,Claude Monet,2025-11-07 14:51:53,salida
3,Mary Cassatt,Administración,Claude Monet,2025-11-07 15:56:19,salida
5,Leonardo da Vinci,Ingeniería y Calidad,Rembrandt van Rijn,2025-11-07 16:09:22,salida
6,Albrecht Dürer,Ingeniería y Calidad,Leonardo da Vinci,2025-11-07 16:12:09,salida
7,Jackson Pollock,Ingeniería y Calidad,Leonardo da Vinci,2025-11-07 16:16:44,salida
2,Johannes Vermeer,Administración,Claude Monet,2025-11-07 16:19:53,salida
1,Claude Monet,Dirección,N/A,2025-11-07 18:10:31,salida
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-07 20:38:03,salida
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-07 20:52:27,entrada
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-07 20:53:36,entrada
34,El Greco,Producción,Vincent Van Gogh,2025-11-07 20:54:24,entrada
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-07 20:55:12,entrada
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-07 20:58:24,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-07 21:02:20,salida
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-07 21:03:11,salida
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-07 21:03:56,salida
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-07 21:08:05,salida
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-07 21:17:11,salida
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-07 21:22:34,salida
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-08 05:40:28,salida
16,Francisco de Goya,Producción,Caravaggio,2025-11-08 05:52:31,entrada
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-08 05:54:55,entrada
34,El Greco,Producción,Vincent Van Gogh,2025-11-08 05:55:00,salida
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-08 05:55:44,entrada
40,Georges Seurat,Producción,Caravaggio,2025-11-08 05:56:38,entrada
13,Auguste Renoir,Producción,Caravaggio,2025-11-08 05:56:45,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-08 05:57:48,entrada
14,Edgar Degas,Producción,Caravaggio,2025-11-08 05:59:44,entrada
31,Jean-Michel Basquiat,Producción,Vincent Van Gogh,2025-11-08 06:01:28,incompleto
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-08 06:07:47,salida
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-08 06:13:19,salida
